Open Time,Symbol,Magic Number,Type,Volume,Open Price,S/L,T/P,Close Price,Close Time,Commission,Swap,Profit,Profit Points,Duration,Open Comment,Close Comment
2025.01.08 08:08:15,BTCUSD.,11085,buy,0.01,96501.40,,,96491.30,2025.01.08 08:10:04,-0.78,0.00,-0.10,-1010.0,00:01:49,Break EA 651,
2025.01.08 08:17:18,BTCUSD.,11085,buy,0.01,96425.90,,,96405.40,2025.01.08 08:17:45,-0.78,0.00,-0.21,-2050.0,00:00:27,Break EA 651,
2025.01.08 08:21:33,BTCUSD.,11085,buy,0.01,96375.60,,,96350.60,2025.01.08 08:22:03,-0.78,0.00,-0.25,-2500.0,00:00:30,Break EA 651,
2025.01.08 08:23:35,BTCUSD.,11085,buy,0.01,96292.80,,,96307.60,2025.01.08 08:25:00,-0.78,0.00,0.15,1480.0,00:01:25,Break EA 651,
2025.01.08 08:25:03,BTCUSD.,11085,buy,0.01,96294.30,,,96259.30,2025.01.08 08:26:58,-0.78,0.00,-0.35,-3500.0,00:01:55,Break EA 651,
2025.01.08 08:29:27,BTCUSD.,11085,buy,0.01,96208.35,,,96123.40,2025.01.08 08:30:23,-0.76,0.00,-0.85,-8495.0,00:00:56,Break EA 651,
2025.01.08 08:31:19,BTCUSD.,11085,buy,0.01,96156.10,,,96128.90,2025.01.08 08:31:24,-0.76,0.00,-0.27,-2720.0,00:00:05,Break EA 651,
2025.01.08 08:34:57,BTCUSD.,11085,buy,0.01,95785.00,,,95791.10,2025.01.08 08:35:03,-0.76,0.00,0.06,610.0,00:00:06,Break EA 651,
2025.01.08 08:35:36,BTCUSD.,11085,buy,0.01,95825.60,,,95829.20,2025.01.08 08:35:41,-0.76,0.00,0.04,360.0,00:00:05,Break EA 651,
2025.01.08 08:36:56,BTCUSD.,11085,buy,0.01,95633.40,,,95657.75,2025.01.08 08:37:06,-0.76,0.00,0.24,2435.0,00:00:10,Break EA 651,
2025.01.08 08:37:40,BTCUSD.,11085,buy,0.01,95613.25,,,95607.90,2025.01.08 08:37:46,-0.76,0.00,-0.05,-535.0,00:00:06,Break EA 651,
